Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B1F76F9,Western Union Co/The,WU,<0.01%,Transaction & Payment Processing Services,US,---,"$96,576,929.91","10,028,757"
,BD06LM7,Integer Holdings Corp,ITGR,<0.01%,Health Care Equipment,US,---,"$96,511,765.68","1,113,426"
,B4Y1MH7,OPENLANE Inc,OPLN,<0.01%,Diversified Support Services,US,---,"$96,505,523.21","3,384,971"
,2781518,Scotts Miracle-Gro Co/The,SMG,<0.01%,Fertilizers & Agricultural Chemicals,US,---,"$96,449,639.28","1,375,494"
,2074070,Bank of Hawaii Corp,BOH,<0.01%,Regional Banks,US,---,"$96,275,180.48","1,270,624"
,BMH5RL1,Tarsus Pharmaceuticals Inc,TARS,<0.01%,Pharmaceuticals,US,---,"$96,172,605.44","1,273,472"
,2762030,Bread Financial Holdings Inc,BFH,<0.01%,Consumer Finance,US,---,"$95,866,068.84","1,352,894"
,BKY83Q6,Oscar Health Inc,OSCR,<0.01%,Life & Health Insurance,US,---,"$95,803,772.68","7,023,737"
,BGDW5G5,NMI Holdings Inc,NMIH,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$95,504,981.54","2,429,534"
,BN46048,Hims & Hers Health Inc,HIMS,<0.01%,Health Care Services,US,---,"$95,478,975.24","6,575,687"
,BLDCK32,Loar Holdings Inc,LOAR,<0.01%,Aerospace & Defense,US,---,"$95,061,554.93","1,342,867"
,2554163,MGE Energy Inc,MGEE,<0.01%,Electric Utilities,US,---,"$95,024,435.04","1,158,552"
,BQBBDY8,Spyre Therapeutics Inc,SYRE,<0.01%,Biotechnology,US,---,"$94,835,243.58","2,204,958"
,2839268,Synaptics Inc,SYNA,<0.01%,Semiconductors,US,---,"$94,734,151.38","1,162,953"
,B72ZBG4,Supernus Pharmaceuticals Inc,SUPN,<0.01%,Pharmaceuticals,US,---,"$94,143,262.20","1,720,140"
,2401195,Haemonetics Corp,HAE,<0.01%,Health Care Supplies,US,---,"$93,635,336.48","1,478,764"
,BYNPPC6,DENTSPLY SIRONA Inc,XRAY,<0.01%,Health Care Supplies,US,---,"$93,627,557.32","6,377,899"
,BKX9VD3,Arcutis Biotherapeutics Inc,ARQT,<0.01%,Biotechnology,US,---,"$93,394,278.15","3,462,895"
,B1W7RQ0,Cinemark Holdings Inc,CNK,<0.01%,Movies & Entertainment,US,---,"$93,350,059.28","3,305,597"
,BSWYNW8,Waystar Holding Corp,WAY,<0.01%,Health Care Technology,US,---,"$93,228,413.40","3,634,636"
,2658526,Olin Corp,OLN,<0.01%,Commodity Chemicals,US,---,"$93,033,083.87","3,667,051"
,BGJRH57,Clearway Energy Inc,CWEN,<0.01%,Renewable Electricity,US,---,"$92,746,134.78","2,420,938"
,2186254,Century Aluminum Co,CENX,<0.01%,Aluminum,US,---,"$92,549,426.60","1,794,985"
,BFZP4R9,nLight Inc,LASR,<0.01%,Electronic Equipment & Instruments,US,---,"$92,282,466.51","1,642,329"
,BYSLHX4,Hilton Grand Vacations Inc,HGV,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$92,185,219.68","2,050,383"
,2192392,Cheesecake Factory Inc/The,CAKE,<0.01%,Restaurants,US,---,"$92,116,836.10","1,421,995"
,BYXB1Y8,Sunrun Inc,RUN,<0.01%,Electrical Components & Equipment,US,---,"$92,098,418.00","6,950,824"
,2810133,Simmons First National Corp,SFNC,<0.01%,Regional Banks,US,---,"$91,997,260.96","4,620,656"
,B7F4TJ7,PBF Energy Inc,PBF,<0.01%,Oil & Gas Refining & Marketing,US,---,"$91,455,723.60","2,568,981"
,BFTWZY0,Veracyte Inc,VCYT,<0.01%,Biotechnology,US,---,"$91,274,267.26","2,494,514"
,BNR4QY1,Crescent Energy Co,CRGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$91,125,931.60","7,815,260"
,2435246,HNI Corp,HNI,<0.01%,Office Services & Supplies,US,---,"$91,083,744.64","2,025,884"
,2267171,American States Water Co,AWR,<0.01%,Water Utilities,US,---,"$91,061,275.71","1,221,807"
,BKM4KV0,Q2 Holdings Inc,QTWO,<0.01%,Application Software,US,---,"$90,846,662.28","1,887,919"
,BYND5N1,Ashland Inc,ASH,<0.01%,Specialty Chemicals,US,---,"$90,474,943.64","1,450,849"
,BNNLSZ1,Alignment Healthcare Inc,ALHC,<0.01%,Managed Health Care,US,---,"$89,597,970.10","4,661,705"
,BMHRMK1,Vita Coco Co Inc/The,COCO,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$89,533,571.22","1,542,087"
,BF5C2N2,ACM Research Inc,ACMR,<0.01%,Semiconductor Materials & Equipment,US,---,"$89,456,657.28","1,606,621"
,BLF0L75,Shift4 Payments Inc,FOUR,<0.01%,Transaction & Payment Processing Services,US,---,"$89,243,997.57","2,025,051"
,BD2B4V0,Denali Therapeutics Inc,DNLI,<0.01%,Biotechnology,US,---,"$89,180,910.42","4,210,619"
,BPW6ZP0,DigitalBridge Group Inc,DBRG,<0.01%,Asset Management & Custody Banks,US,---,"$89,125,611.60","5,768,648"
,BP5DSY8,Lineage Inc,LINE,<0.01%,Industrial REITs,US,---,"$89,078,195.52","2,198,376"
,BSLN6B6,LXP Industrial Trust,LXP,<0.01%,Industrial REITs,US,---,"$88,682,217.96","1,789,391"
,BP6JW21,Kyndryl Holdings Inc,KD,<0.01%,IT Consulting & Other Services,US,---,"$88,678,358.73","7,192,081"
,2415594,Hawkins Inc,HWKN,<0.01%,Commodity Chemicals,US,---,"$88,656,500.10","594,611"
,BNZJHH8,Remitly Global Inc,RELY,<0.01%,Transaction & Payment Processing Services,US,---,"$88,228,354.50","5,283,135"
,2109091,BOK Financial Corp,BOKF,<0.01%,Regional Banks,US,---,"$88,155,241.16","701,203"
,2352806,First Financial Bancorp,FFBC,<0.01%,Regional Banks,US,---,"$88,049,723.37","3,136,791"
,B247H10,Teradata Corp,TDC,<0.01%,Systems Software,US,---,"$87,997,293.48","2,794,452"
,BDZCRX3,RingCentral Inc,RNG,<0.01%,Application Software,US,---,"$87,975,756.45","2,413,601"
,2320148,Euronet Worldwide Inc,EEFT,<0.01%,Transaction & Payment Processing Services,US,---,"$87,663,462.90","1,260,438"
,BZ0CTP8,Chemours Co/The,CC,<0.01%,Diversified Chemicals,US,---,"$87,527,138.88","4,798,637"
,2551551,McGrath RentCorp,MGRC,<0.01%,Trading Companies & Distributors,US,---,"$87,342,169.95","787,221"
,2768663,St Joe Co/The,JOE,<0.01%,Diversified Real Estate Activities,US,---,"$87,023,091.19","1,205,807"
,2566522,Acadia Realty Trust,AKR,<0.01%,Retail REITs,US,---,"$86,999,167.20","4,158,660"
,BSWW195,Concentra Group Holdings Parent Inc,CON,<0.01%,Health Care Facilities,US,---,"$86,699,475.64","3,618,509"
,BKY5JZ8,Edgewise Therapeutics Inc,EWTX,<0.01%,Pharmaceuticals,US,---,"$86,652,695.68","2,846,672"
,2904627,Trinity Industries Inc,TRN,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$86,516,381.82","2,531,199"
,BGKG6G7,Twist Bioscience Corp,TWST,<0.01%,Biotechnology,US,---,"$86,152,158.00","1,836,150"
,BPLQG36,Alumis Inc,ALMS,<0.01%,Pharmaceuticals,US,---,"$86,046,696.99","2,898,171"
,2024901,ABM Industries Inc,ABM,<0.01%,Environmental & Facilities Services,US,---,"$86,041,996.00","1,933,528"
,BD3WG50,Acushnet Holdings Corp,GOLF,<0.01%,Leisure Products,US,---,"$85,668,834.06","837,182"
,B8FW545,Artisan Partners Asset Management Inc,APAM,<0.01%,Asset Management & Custody Banks,US,---,"$85,529,142.20","2,123,365"
,BTPSGQ9,Urban Edge Properties,UE,<0.01%,Retail REITs,US,---,"$85,420,707.50","4,019,798"
,BK0VHF6,Ideaya Biosciences Inc,IDYA,<0.01%,Biotechnology,US,---,"$85,285,435.20","2,648,616"
,2133045,Power Integrations Inc,POWI,<0.01%,Semiconductors,US,---,"$85,256,484.64","1,779,142"
,B1G7Q03,Catalyst Pharmaceuticals Inc,CPRX,<0.01%,Biotechnology,US,---,"$85,110,615.80","3,687,635"
,2106780,Choice Hotels International Inc,CHH,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$85,010,286.20","806,932"
,BZ16HK0,Four Corners Property Trust Inc,FCPT,<0.01%,Other Specialized REITs,US,---,"$84,986,040.48","3,330,174"
,2165383,California Water Service Group,CWT,<0.01%,Water Utilities,US,---,"$84,648,203.64","1,877,733"
,2415204,Hawaiian Electric Industries Inc,HE,<0.01%,Electric Utilities,US,---,"$84,326,739.03","5,443,947"
,BPW7PC0,Phinia Inc,PHIN,<0.01%,Automotive Parts & Equipment,US,---,"$84,318,999.57","1,160,939"
,BLFGJD5,Travere Therapeutics Inc,TVTX,<0.01%,Biotechnology,US,---,"$84,181,475.70","2,825,830"
,BS70KX1,Hycroft Mining Holding Corp,HYMC,<0.01%,Gold,US,---,"$84,001,142.34","1,667,682"
,BGYTGH3,PennyMac Financial Services Inc,PFSI,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$83,705,666.41","910,537"
,BPGKM57,SL Green Realty Corp,SLG,<0.01%,Office REITs,US,---,"$83,705,401.45","2,271,517"
,BMDH2B6,Viridian Therapeutics Inc,VRDN,<0.01%,Biotechnology,US,---,"$83,389,312.76","2,838,302"
,B4N0JJ6,Visteon Corp,VC,<0.01%,Automotive Parts & Equipment,US,---,"$83,234,526.39","870,017"
,BMDPVF7,Centuri Holdings Inc,CTRI,<0.01%,Construction & Engineering,US,---,"$83,215,253.00","2,684,363"
,B63RTD5,Chefs' Warehouse Inc/The,CHEF,<0.01%,Food Distributors,US,---,"$83,208,471.72","1,165,548"
,BD4LHG4,Ingevity Corp,NGVT,<0.01%,Specialty Chemicals,US,---,"$83,200,988.64","1,155,088"
,BN6QSL9,RXO Inc,RXO,<0.01%,Cargo Ground Transportation,US,---,"$83,153,882.28","5,210,143"
,BSNR2T6,Curbline Properties Corp,CURB,<0.01%,Retail REITs,US,---,"$83,029,758.48","2,985,608"
,BMDP209,Privia Health Group Inc,PRVA,<0.01%,Health Care Services,US,---,"$82,978,296.25","3,493,823"
,B0JL5L9,Medical Properties Trust Inc,MPT,<0.01%,Health Care REITs,US,---,"$82,963,514.88","14,403,388"
,2553911,Steven Madden Ltd,SHOO,<0.01%,Footwear,US,---,"$82,909,173.30","2,296,653"
,BXRTX56,Apple Hospitality REIT Inc,APLE,<0.01%,Hotel & Resort REITs,US,---,"$82,853,263.90","6,758,015"
,BJZ2ZR5,Varonis Systems Inc,VRNS,<0.01%,Systems Software,US,---,"$82,396,960.80","3,566,968"
,BK6L288,Beam Therapeutics Inc,BEAM,<0.01%,Biotechnology,US,---,"$82,351,856.00","2,893,600"
,B00G0F2,Ultra Clean Holdings Inc,UCTT,<0.01%,Semiconductor Materials & Equipment,US,---,"$82,327,711.36","1,356,752"
,B018PR4,Towne Bank/Portsmouth VA,TOWN,<0.01%,Regional Banks,US,---,"$82,249,695.00","2,400,750"
,2279897,Bel Fuse Inc,BELFB,<0.01%,Electronic Components,US,---,"$82,167,267.00","357,700"
,2171603,Provident Financial Services Inc,PFS,<0.01%,Regional Banks,US,---,"$82,103,340.00","3,902,250"
,BNTBRX6,Seadrill Ltd,SDRL,<0.01%,Oil & Gas Drilling,US,---,"$81,970,911.60","1,868,070"
,2012865,Nicolet Bankshares Inc,NIC,<0.01%,Regional Banks,US,---,"$81,895,247.04","536,104"
,2943523,Penske Automotive Group Inc,PAG,<0.01%,Automotive Retail,US,---,"$81,875,430.56","519,778"
,2475060,Insight Enterprises Inc,NSIT,<0.01%,Technology Distributors,US,---,"$81,694,773.68","977,678"
,BN6RJM0,Northern Oil & Gas Inc,NOG,<0.01%,Oil & Gas Exploration & Production,US,---,"$81,424,904.73","2,951,247"
,BJN4MY9,Fastly Inc,FSLY,<0.01%,Internet Services & Infrastructure,US,---,"$80,869,856.40","4,229,595"
,BD420Q8,Axcelis Technologies Inc,ACLS,<0.01%,Semiconductor Materials & Equipment,US,---,"$80,822,154.38","978,358"
,BFXX5X8,Verra Mobility Corp,VRRM,<0.01%,Data Processing & Outsourced Services,US,---,"$80,412,496.98","4,812,238"
,2060518,Astronics Corp,ATRO,<0.01%,Aerospace & Defense,US,---,"$80,375,640.78","996,969"
,BKS3RS7,10X Genomics Inc,TXG,<0.01%,Life Sciences Tools & Services,US,---,"$80,209,505.25","3,479,805"
,2160645,CVB Financial Corp,CVBF,<0.01%,Regional Banks,US,---,"$80,071,797.00","4,163,900"
,BYY9947,Red Rock Resorts Inc,RRR,<0.01%,Casinos & Gaming,US,---,"$80,003,625.10","1,321,282"
,BYQ7X92,Turning Point Brands Inc,TPB,<0.01%,Tobacco,US,---,"$79,385,568.01","579,499"
,2508386,Plug Power Inc,PLUG,<0.01%,Electrical Components & Equipment,US,---,"$79,294,581.71","44,298,649"
,2606570,Beacon Financial Corp,BBT,<0.01%,Regional Banks,US,---,"$79,251,300.70","2,664,805"
,2578464,Mercury General Corp,MCY,<0.01%,Property & Casualty Insurance,US,---,"$79,245,362.28","874,866"
,BLGZN51,Warby Parker Inc,WRBY,<0.01%,Other Specialty Retail,US,---,"$79,184,436.11","3,166,111"
,BYXR425,RH,RH,<0.01%,Homefurnishing Retail,US,---,"$78,770,414.21","475,351"
,BYY5Z69,FB Financial Corp,FBK,<0.01%,Regional Banks,US,---,"$78,514,057.80","1,435,620"
,2407632,Hub Group Inc,HUBG,<0.01%,Air Freight & Logistics,US,---,"$78,305,050.16","1,818,088"
,BNDYF48,IAC Inc,IAC,<0.01%,Interactive Media & Services,US,---,"$78,071,366.96","2,037,353"
,BN71J76,Madison Square Garden Entertainment Corp,MSGE,<0.01%,Movies & Entertainment,US,---,"$77,762,087.48","1,231,582"
,B018V76,Huron Consulting Group Inc,HURN,<0.01%,Research & Consulting Services,US,---,"$77,683,039.00","549,385"
,2420640,Highwoods Properties Inc,HIW,<0.01%,Office REITs,US,---,"$77,386,920.52","3,440,948"
,B7KH3G6,Ambarella Inc,AMBA,<0.01%,Semiconductors,US,---,"$77,044,465.26","1,276,839"
,BL55460,Vera Therapeutics Inc,VERA,<0.01%,Biotechnology,US,---,"$77,036,483.48","1,888,612"
,2630085,Neogen Corp,NEOG,<0.01%,Health Care Supplies,US,---,"$77,001,897.69","6,856,803"
,BWWCK85,National Storage Affiliates Trust,NSA,<0.01%,Self-Storage REITs,US,---,"$76,788,739.22","2,192,711"
,BJDRX78,Cleanspark Inc,CLSK,<0.01%,Application Software,US,---,"$76,544,464.45","7,692,911"
,2673251,Park National Corp,PRK,<0.01%,Regional Banks,US,---,"$76,371,535.40","464,180"
,BK8MDM0,Helios Technologies Inc,HLIO,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$75,939,325.08","1,064,769"
,BN4JNC6,Klaviyo Inc,KVYO,<0.01%,Application Software,US,---,"$75,894,716.60","4,359,260"
,BKP4ZK1,InvenTrust Properties Corp,IVT,<0.01%,Retail REITs,US,---,"$75,840,024.00","2,430,770"
,2941981,WaFd Inc,WAFD,<0.01%,Regional Banks,US,---,"$75,472,043.96","2,422,081"
,2110703,Robert Half Inc,RHI,<0.01%,Human Resource & Employment Services,US,---,"$75,370,327.56","3,086,418"
,BFNF1D6,Amneal Pharmaceuticals Inc,AMRX,<0.01%,Pharmaceuticals,US,---,"$75,360,949.04","5,456,984"
,2342410,First Merchants Corp,FRME,<0.01%,Regional Banks,US,---,"$74,835,816.12","1,914,939"
,BCD47X4,Banc of California Inc,BANC,<0.01%,Regional Banks,US,---,"$74,745,042.45","4,046,835"
,2458878,Blackbaud Inc,BLKB,<0.01%,Application Software,US,---,"$74,646,607.98","1,537,837"
,BQ7W2W6,Crane NXT Co,CXT,<0.01%,Electronic Equipment & Instruments,US,---,"$74,606,794.46","1,544,974"
,BF5D6S8,Cargurus Inc,CARG,<0.01%,Interactive Media & Services,US,---,"$74,062,184.30","2,412,449"
,BJ1N1M9,Capri Holdings Ltd,CPRI,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$73,898,534.99","3,603,049"
,2930149,Vishay Intertechnology Inc,VSH,<0.01%,Electronic Components,US,---,"$73,594,085.76","3,931,308"
,BJ5FZ74,Adaptive Biotechnologies Corp,ADPT,<0.01%,Life Sciences Tools & Services,US,---,"$73,452,100.50","4,585,025"
,BVYJBR3,Zillow Group Inc,ZG,<0.01%,Real Estate Services,US,---,"$73,399,065.60","1,638,372"
,BD93QN5,Solaris Energy Infrastructure Inc,SEI,<0.01%,Oil & Gas Equipment & Services,US,---,"$73,030,594.63","1,471,501"
,BLTFST7,ArcBest Corp,ARCB,<0.01%,Cargo Ground Transportation,US,---,"$72,980,788.68","710,898"
,2388016,Greif Inc,GEF,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$72,935,972.20","1,003,660"
,BF7J7N6,Tenable Holdings Inc,TENB,<0.01%,Systems Software,US,---,"$72,451,063.38","3,767,606"
,2340210,Trustmark Corp,TRMK,<0.01%,Regional Banks,US,---,"$72,348,569.98","1,698,722"
,BN15WD1,Dyne Therapeutics Inc,DYN,<0.01%,Biotechnology,US,---,"$72,130,254.68","4,617,814"
,BHRWS81,Levi Strauss & Co,LEVI,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$72,081,693.44","3,252,784"
,BYN7H26,Alarm.com Holdings Inc,ALRM,<0.01%,Application Software,US,---,"$71,993,196.00","1,504,560"
,BMCQX44,SIRIUSPOINT LTD,SPNT,<0.01%,Reinsurance,US,---,"$71,613,377.78","3,387,577"
,BJRFSB7,Immunovant Inc,IMVT,<0.01%,Biotechnology,US,---,"$71,453,776.64","2,576,768"
,2351494,First Bancorp/Southern Pines NC,FBNC,<0.01%,Regional Banks,US,---,"$71,345,617.74","1,256,306"
,BYTQ6X1,Apellis Pharmaceuticals Inc,APLS,<0.01%,Biotechnology,US,---,"$71,310,594.08","3,402,223"
,2378200,Goodyear Tire & Rubber Co/The,GT,<0.01%,Tires & Rubber,US,---,"$71,210,889.75","8,631,623"
,BL53QN5,Upstart Holdings Inc,UPST,<0.01%,Consumer Finance,US,---,"$71,035,200.53","2,608,711"
,2595612,Minerals Technologies Inc,MTX,<0.01%,Specialty Chemicals,US,---,"$70,784,473.98","1,002,329"
,BPXYZZ3,Dave Inc,DAVE,<0.01%,Consumer Finance,US,---,"$70,636,899.41","365,483"
,BS7T2R6,Green Brick Partners Inc,GRBK,<0.01%,Homebuilding,US,---,"$70,568,858.10","958,035"
,B1G6TJ0,LeMaitre Vascular Inc,LMAT,<0.01%,Health Care Equipment,US,---,"$70,563,866.76","652,282"
,BPLZLN8,Calumet Inc,CLMT,<0.01%,Oil & Gas Refining & Marketing,US,---,"$70,507,328.72","2,615,257"
,BLPNQJ1,Kinetik Holdings Inc,KNTK,<0.01%,Oil & Gas Storage & Transportation,US,---,"$70,388,451.11","1,547,339"
,2021634,Alamo Group Inc,ALG,<0.01%,Agricultural & Farm Machinery,US,---,"$70,366,249.14","329,538"
,BN70ZC0,BellRing Brands Inc,BRBR,<0.01%,Personal Care Products,US,---,"$70,003,594.68","3,806,612"
,BF5P189,Delek US Holdings Inc,DK,<0.01%,Oil & Gas Refining & Marketing,US,---,"$69,823,770.04","1,832,164"
,2895163,United Natural Foods Inc,UNFI,<0.01%,Food Distributors,US,---,"$69,731,989.07","1,824,967"
,BJTD9L6,Knowles Corp,KN,<0.01%,Electronic Components,US,---,"$69,414,595.25","2,554,825"
,BNXK803,NuScale Power Corp,SMR,<0.01%,Heavy Electrical Equipment,US,---,"$69,239,796.35","5,388,311"
,BYXD7B3,DXC Technology Co,DXC,<0.01%,IT Consulting & Other Services,US,---,"$69,205,530.35","5,496,865"
,BDHF495,Atkore Inc,ATKR,<0.01%,Electrical Components & Equipment,US,---,"$69,196,344.30","1,069,330"
,B05BRL7,Bancorp Inc/The,TBBK,<0.01%,Regional Banks,US,---,"$69,097,573.55","1,316,395"
,BYP71H7,National Vision Holdings Inc,EYE,<0.01%,Other Specialty Retail,US,---,"$69,055,929.84","2,560,472"
,B2QH310,Iridium Communications Inc,IRDM,<0.01%,Alternative Carriers,US,---,"$68,975,736.55","2,879,989"
,2210885,CSG Systems International Inc,CSGS,<0.01%,Data Processing & Outsourced Services,US,---,"$68,873,160.80","861,992"
,BR1W702,Howard Hughes Holdings Inc,HHH,<0.01%,Real Estate Development,US,---,"$68,827,705.61","951,053"
,BM8FWX7,Immunome Inc,IMNM,<0.01%,Biotechnology,US,---,"$68,732,867.80","3,144,230"
,2476513,WisdomTree Inc,WT,<0.01%,Asset Management & Custody Banks,US,---,"$68,414,249.45","3,998,495"
,BH3T5K7,Enerpac Tool Group Corp,EPAC,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$68,268,069.60","1,673,237"
,BJ62Z18,Ultragenyx Pharmaceutical Inc,RARE,<0.01%,Biotechnology,US,---,"$68,104,429.10","2,911,690"
,B57VWJ3,SPS Commerce Inc,SPSC,<0.01%,Application Software,US,---,"$68,029,450.48","1,203,848"
,BFNR303,Northwest Natural Holding Co,NWN,<0.01%,Gas Utilities,US,---,"$67,972,616.40","1,281,535"
,BRF2GD4,Atlanta Braves Holdings Inc,BATRK,<0.01%,Movies & Entertainment,US,---,"$67,856,496.75","1,552,425"
,BPMQ8J5,Adeia Inc,ADEA,<0.01%,Systems Software,US,---,"$67,827,261.47","3,278,263"
,2597748,ePlus Inc,PLUS,<0.01%,Technology Distributors,US,---,"$67,818,847.34","840,799"
,2848736,Stewart Information Services Corp,STC,<0.01%,Property & Casualty Insurance,US,---,"$67,586,455.44","952,056"
,BZ1LBM5,First Busey Corp,BUSE,<0.01%,Regional Banks,US,---,"$67,406,550.32","2,657,987"
,B0650B9,Huntsman Corp,HUN,<0.01%,Diversified Chemicals,US,---,"$67,245,553.10","5,315,854"
,BN4J951,Dianthus Therapeutics Inc,DNTH,<0.01%,Biotechnology,US,---,"$67,235,383.07","1,218,253"
,2411053,Harley-Davidson Inc,HOG,<0.01%,Motorcycle Manufacturers,US,---,"$67,117,212.00","3,728,734"
,2682105,Penn Entertainment Inc,PENN,<0.01%,Casinos & Gaming,US,---,"$67,113,820.60","4,291,165"
,2626459,NBT Bancorp Inc,NBTB,<0.01%,Regional Banks,US,---,"$66,942,496.32","1,567,006"
,2274922,Andersons Inc/The,ANDE,<0.01%,Food Distributors,US,---,"$66,762,224.21","1,022,549"
,BSBGKF7,USA Rare Earth Inc,USAR,<0.01%,Diversified Metals & Mining,US,---,"$66,688,744.50","3,528,505"
,BPLYVM4,Liberty Media Corp-Liberty Formula One,FWONA,<0.01%,Movies & Entertainment,US,---,"$66,637,197.77","789,821"
,2687315,Photronics Inc,PLAB,<0.01%,Semiconductor Materials & Equipment,US,---,"$66,416,390.88","1,774,416"
,BKLKXD2,O-I Glass Inc,OI,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$66,015,515.40","4,926,531"
,BMH0MV1,DNOW Inc,DNOW,<0.01%,Trading Companies & Distributors,US,---,"$65,979,815.34","5,601,003"
,BVDGYR6,Lionsgate Studios Corp,LION,<0.01%,Movies & Entertainment,US,---,"$65,864,403.00","7,318,267"
,BYVMVV0,Park Hotels & Resorts Inc,PK,<0.01%,Hotel & Resort REITs,US,---,"$65,549,016.39","5,795,669"
,B6XHXY4,Customers Bancorp Inc,CUBI,<0.01%,Regional Banks,US,---,"$65,391,510.00","969,625"
,2715186,Quaker Chemical Corp,KWR,<0.01%,Specialty Chemicals,US,---,"$65,294,993.79","444,093"
,B090B96,DiamondRock Hospitality Co,DRH,<0.01%,Hotel & Resort REITs,US,---,"$65,291,736.44","6,503,161"
,BZCFW78,Global Net Lease Inc,GNL,<0.01%,Diversified REITs,US,---,"$65,290,330.86","6,931,033"
,BJH08C3,Par Pacific Holdings Inc,PARR,<0.01%,Oil & Gas Refining & Marketing,US,---,"$65,187,556.38","1,527,714"
,B65VZ37,Acadia Healthcare Co Inc,ACHC,<0.01%,Health Care Facilities,US,---,"$64,798,028.24","2,764,421"
,B5L3PZ2,Pilgrim's Pride Corp,PPC,<0.01%,Packaged Foods & Meats,US,---,"$64,752,041.64","1,500,279"
,B45K9N8,Marriott Vacations Worldwide Corp,VAC,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$64,584,574.56","993,456"
,2139731,National HealthCare Corp,NHC,<0.01%,Health Care Facilities,US,---,"$64,506,145.50","394,533"
,BKRQQR9,Perdoceo Education Corp,PRDO,<0.01%,Education Services,US,---,"$64,347,190.85","1,929,451"
,BBGVT51,News Corp,NWS,<0.01%,Publishing,US,---,"$64,198,113.98","2,397,241"
,BJLV8T9,Celldex Therapeutics Inc,CLDX,<0.01%,Biotechnology,US,---,"$64,057,939.02","2,128,878"
,BL6JK96,Soleno Therapeutics Inc,SLNO,<0.01%,Biotechnology,US,---,"$63,967,748.20","1,637,260"
,2768889,Enterprise Financial Services Corp,EFSC,<0.01%,Regional Banks,US,---,"$63,925,163.00","1,119,530"
,2100362,BioCryst Pharmaceuticals Inc,BCRX,<0.01%,Biotechnology,US,---,"$63,887,950.00","7,301,480"
,2078782,BancFirst Corp,BANF,<0.01%,Regional Banks,US,---,"$63,730,150.00","579,365"
,2948852,Werner Enterprises Inc,WERN,<0.01%,Cargo Ground Transportation,US,---,"$63,578,658.66","1,811,874"
,BYVJ8J8,Liquidia Corp,LQDA,<0.01%,Pharmaceuticals,US,---,"$63,563,144.04","2,049,102"
,BRJ8H91,ARMOUR Residential REIT Inc,ARR,<0.01%,Mortgage REITs,US,---,"$63,403,797.75","3,532,245"
,B15CJ33,Kaiser Aluminum Corp,KALU,<0.01%,Aluminum,US,---,"$63,397,961.28","487,152"
